3.64.163.50         # admarket.network
3.94.41.167         # qadabra.com
13.226.184.22       # eneverals.biz
13.226.184.46       # eneverals.biz
13.226.184.93       # eneverals.biz
13.226.184.119      # eneverals.biz
13.226.204.15       # gotchosen.com
13.226.204.48       # gotchosen.com
13.226.204.89       # gotchosen.com
13.226.204.118      # gotchosen.com
13.249.85.2         # mantedtonisms.com
13.249.85.27        # mantedtonisms.com
13.249.85.35        # mantedtonisms.com
13.249.85.103       # mantedtonisms.com
23.47.49.19         # b.rmgserving.com
23.47.49.53         # b.rmgserving.com
23.109.82.75        # pertersacstyli.com
23.109.82.104       # educedsteeped.com
23.109.82.147       # pertersacstyli.com
23.109.248.1        # balvalur.com
23.109.248.11       # balvalur.com
23.109.248.16       # balvalur.com
23.109.248.184      # educedsteeped.com
23.235.244.212      # d.trafiq.party
23.235.244.224      # d.trafiq.party
23.235.244.225      # d.trafiq.party
23.235.244.226      # d.trafiq.party
34.98.99.30         # maphuahin.com
35.170.8.51         # mfadsrvr.com
36.25.241.5         # ashow.pcpop.com
36.25.241.6         # ashow.pcpop.com
36.25.241.8         # ashow.pcpop.com
36.25.241.9         # ashow.pcpop.com
36.25.241.11        # ashow.pcpop.com
36.25.241.12        # ashow.pcpop.com
36.25.241.13        # ashow.pcpop.com
36.25.245.34        # ashow.pcpop.com
36.25.245.36        # ashow.pcpop.com
36.25.245.39        # ashow.pcpop.com
36.25.245.41        # ashow.pcpop.com
36.25.245.42        # ashow.pcpop.com
36.25.245.44        # ashow.pcpop.com
36.25.245.45        # ashow.pcpop.com
36.25.245.47        # ashow.pcpop.com
37.48.65.151        # adsrvmedia.adk2.co
37.48.80.112        # special-promotions.online
38.63.41.66         # rdsa2012.com
45.133.44.24        # js.wpshsdk.com
45.133.44.25        # js.wpshsdk.com
46.229.171.20       # snowmiracles.com
46.229.171.26       # snowmiracles.com
47.241.191.34       # vlogerads.com
50.28.32.8          # adzmarket.net
51.15.15.159        # go1news.biz
51.15.16.175        # go1news.biz
51.15.17.172        # go1news.biz
51.15.17.214        # go1news.biz
51.15.18.44         # di7stero.com
51.15.20.78         # go1news.biz
51.15.20.97         # go1news.biz
51.15.21.58         # go1news.biz
51.15.21.81         # go1news.biz
52.18.225.154       # bidio.pl
52.20.131.174       # ofchildr.buzz
52.32.160.177       # samsungtvads.com
52.86.6.113         # qadabra.com
52.116.53.157       # retdaz.fun
52.216.25.67        # voluumtrk2.com
52.216.44.77        # voluumtrk2.com
52.216.102.154      # bitmedianetwork.com
52.216.107.91       # bitmedianetwork.com
52.216.108.178      # voluumtrk2.com
52.216.178.138      # voluumtrk2.com
52.216.227.26       # bitmedianetwork.com
52.217.85.235       # voluumtrk2.com
52.217.89.35        # bitmedianetwork.com
52.217.99.139       # bitmedianetwork.com
52.217.128.221      # bitmedianetwork.com
52.217.130.229      # bitmedianetwork.com
52.217.168.45       # voluumtrk2.com
52.217.233.165      # bitmedianetwork.com
54.72.11.247        # bidio.pl
54.162.51.18        # ofchildr.buzz
54.191.227.145      # samsungtvads.com
54.231.229.77       # voluumtrk2.com
54.231.230.253      # voluumtrk2.com
62.122.190.41       # adsmodern.com
64.32.8.68          # moonads.net
64.91.240.248       # zuzodoad.com
64.225.39.251       # apytrc.com
66.195.197.18       # 4qdx69gg2d.com
67.228.194.247      # eclkmpsa.com
68.169.106.40       # syndication.jsadapi.com
68.169.106.41       # syndication.jsadapi.com
72.26.218.86        # giqepofa.com
72.52.178.23        # trupir-asia.info
74.117.179.26       # gurynyce.com
74.117.179.27       # kihudevo.pro
75.2.81.221         # 978ea72276.com
75.126.100.14       # xxxc2c.org
81.171.22.4         # makemyvids.com
81.171.28.46        # bleua.ecefibwja.xyz
81.171.38.183       # cashpartners.eu
85.207.59.47        # bannery.hledejceny.cz
91.208.189.91       # burdaffi.burdadigital.pl
95.81.95.118        # zarpop.com
95.168.170.165      # special-promotions.online
99.84.160.44        # pemainedperio.com
99.84.160.68        # pemainedperio.com
99.84.160.74        # pemainedperio.com
99.84.160.101       # pemainedperio.com
103.224.212.221     # 360adshost.com
103.224.212.222     # d71e6dd31a026d45.com
103.224.212.229     # advnet.xyz
104.18.2.69         # bangready.com
104.18.3.69         # bangready.com
104.18.35.151       # dianomi.com
104.18.49.247       # go.schjmp.com
104.18.61.9         # go.schjmp.com
104.20.45.169       # sbbanner.com
104.20.46.169       # sbbanner.com
104.21.3.110        # paripartner.com
104.21.8.85         # amadagasca.com
104.21.9.49         # bulletprofitadclick.com
104.21.10.201       # hitadsmedia.com
104.21.10.236       # adxxx.com
104.21.32.71        # ftd.agency
104.21.33.48        # cutopporting.com
104.21.34.159       # ie8eamus.com
104.21.38.26        # growadvertising.com
104.21.38.60        # max-adserv.com
104.21.44.56        # u7z5fgj3k9c0vkah2v8zj1zj7v6gkm2f8zjc9j2vk6o9p2zks3a6sjc2mj6h.me
104.21.44.88        # trafficbass.com
104.21.51.203       # ouo.today
104.21.72.33        # bit-ad.com
104.21.78.63        # winnerprizezona.info
104.21.80.238       # contexthub.net
104.21.81.202       # oxu24.com
104.21.82.134       # vliplatform.com
104.21.86.48        # display.nativemedia.rs
104.131.115.228     # epom.com
104.247.81.54       # applicationgrabb.net
104.254.148.251     # ad.foxnetworks.com
104.254.148.252     # ad.foxnetworks.com
104.254.150.228     # ad.foxnetworks.com
104.254.150.241     # ad.foxnetworks.com
104.254.151.36      # ad.foxnetworks.com
104.254.151.60      # ad.foxnetworks.com
104.254.151.68      # ad.foxnetworks.com
104.254.151.69      # ad.foxnetworks.com
104.254.151.120     # ad.foxnetworks.com
108.138.159.50      # adrokt.com
108.138.159.78      # adrokt.com
108.138.159.82      # adrokt.com
108.138.159.117     # adrokt.com
108.160.144.240     # bmfads.com
117.34.13.40        # hechaocheng.cn
128.199.114.251     # yomedia.vn
130.61.124.150      # strands.com
130.185.144.4       # cdsbnrs.com
131.153.42.211      # d.trafiq.party
131.153.42.224      # d.trafiq.party
131.153.42.225      # d.trafiq.party
131.153.42.226      # d.trafiq.party
