2001:1568::14                           # affiliate.manvel.cz
2001:1ab0:7e1e:151:62:109:154:163       # login.affiliatesit.cz
2001:df1:800:c001:b::                   # test-asia.redtrack.tech
2600:1f18:d1f:bd01:6d80:85b9:33:d81     # sstatstest.adobe.com
2600:1f18:d1f:bd02:1ba0:9112:6dc4:114a  # sstatstest.adobe.com
2600:1f18:d1f:bd03:5151:86be:d739:f08f  # sstatstest.adobe.com
2600:9000:244d:1800:1:5684:8a40:93a1    # ati-a1.946d001b783803c1.xhst.bbci.co.uk
2600:9000:244d:2800:1:5684:8a40:93a1    # a1.api.bbc.co.uk
2600:9000:244d:3600:1:5684:8a40:93a1    # a1.api.bbc.co.uk
2600:9000:244d:5200:1:5684:8a40:93a1    # ati-a1.946d001b783803c1.xhst.bbci.co.uk
2600:9000:244d:6600:1:5684:8a40:93a1    # a1.api.bbc.co.uk
2600:9000:244d:7200:1:5684:8a40:93a1    # ati-a1.946d001b783803c1.xhst.bbci.co.uk
2600:9000:244d:7400:1:5684:8a40:93a1    # ati-a1.946d001b783803c1.xhst.bbci.co.uk
2600:9000:244d:8000:1:5684:8a40:93a1    # ati-a1.946d001b783803c1.xhst.bbci.co.uk
2600:9000:244d:8a00:1:5684:8a40:93a1    # a1.api.bbc.co.uk
2600:9000:244d:a200:1:5684:8a40:93a1    # ati-a1.946d001b783803c1.xhst.bbci.co.uk
2600:9000:244d:b200:1:5684:8a40:93a1    # a1.api.bbc.co.uk
2600:9000:244d:bc00:1:5684:8a40:93a1    # ati-a1.946d001b783803c1.xhst.bbci.co.uk
2600:9000:244d:cc00:1:5684:8a40:93a1    # a1.api.bbc.co.uk
2600:9000:244d:d200:1:5684:8a40:93a1    # a1.api.bbc.co.uk
2600:9000:244d:e200:1:5684:8a40:93a1    # a1.api.bbc.co.uk
2600:9000:244d:fc00:1:5684:8a40:93a1    # ati-a1.946d001b783803c1.xhst.bbci.co.uk
2600:9000:24f3:1000:12:601f:a940:93a1   # at-cdn.swisscom.ch
2600:9000:24f3:4a00:12:601f:a940:93a1   # at-cdn.swisscom.ch
2600:9000:24f3:5000:12:601f:a940:93a1   # at-cdn.swisscom.ch
2600:9000:24f3:5600:12:601f:a940:93a1   # at-cdn.swisscom.ch
2600:9000:24f3:6a00:12:601f:a940:93a1   # at-cdn.swisscom.ch
2600:9000:24f3:7c00:12:601f:a940:93a1   # at-cdn.swisscom.ch
2600:9000:24f3:9800:12:601f:a940:93a1   # at-cdn.swisscom.ch
2600:9000:24f3:e400:12:601f:a940:93a1   # at-cdn.swisscom.ch
2603:1046:3:17::2                       # 002c81e4c7e14006bda7d87aac8d1057.fp.measure.office.com
2603:1046:3:18::2                       # 00cf2fb217f54731931c46326c8d6c7b.fp.measure.office.com
2603:1046:c01:800::2                    # 0002ce4190ce477cb47d7fe2a02f66a7.fp.measure.office.com
2603:1046:c01:801::2                    # 00cf2fb217f54731931c46326c8d6c7b.fp.measure.office.com
2603:1046:c01:814::2                    # 00cf2fb217f54731931c46326c8d6c7b.fp.measure.office.com
2603:1046:c01:828::2                    # 0035cb79ea6e4b3f9c44996d71920e42.fp.measure.office.com
2603:1046:c01:840::2                    # 00b2c8d3429e429887384c72a100182d.fp.measure.office.com
