1.53.252.39         # log.kinhtedouong.vn
1.55.215.132        # platform.atdnetwork.com
1.66.92.198         # stlog.d.dmkt-sp.jp
1.234.27.199        # adenc.co.kr
1.255.53.139        # ngc1.nsm-corp.com
2.59.119.2          # almaaqaledu.com
3.0.45.122          # adx-id.ads.oppomobile.com
3.0.75.235          # adx-sg.ads.heytapmobile.com
3.0.235.102         # adx-sg.ads.heytapmobile.com
3.1.229.92          # static.ambientdsp.com
3.5.0.110           # adzerk.s3.amazonaws.com
3.5.2.219           # entrecard.s3.amazonaws.com
3.5.6.143           # analyticsengine.s3.amazonaws.com
3.5.8.181           # yab-adimages.s3.amazonaws.com
3.5.68.18           # cym-files-download.s3.eu-west-1.amazonaws.com
3.8.80.175          # audiens.com
3.10.81.204         # wearemiq.com
3.12.246.208        # adserver.ubiyoo.com
3.13.2.9            # app-03c19ea7c9fd0c57.mobileapi.usebutton.com
3.13.31.214         # nowspots.com
3.13.77.120         # app-03c19ea7c9fd0c57.mobileapi.usebutton.com
3.13.123.123        # l.sharethis.com
3.13.221.92         # tracking.fanbridge.com
3.15.250.165        # config.claspws.tv
3.16.104.69         # collector-12255.tvsquared.com
3.17.7.232          # 349d2d2d.ngrok.io
3.18.7.81           # balook.com
3.19.20.126         # collector-12255.tvsquared.com
3.19.116.195        # balook.com
3.20.32.97          # target.cm
3.20.57.195         # eaes.2track.info
3.21.84.123         # analytics.convertlanguage.com
3.23.36.154         # 247webhostingservice.com
3.24.244.59         # events.jora.com
3.33.138.253        # events.ocdn.eu
3.33.139.32         # kieden.com
3.33.152.147        # 103bees.com
3.33.165.224        # stats-bq.stylight.net
3.33.225.131        # ispot.tv
3.35.46.235         # log.enuri.com
3.37.95.10          # adx.dable.io
3.37.113.123        # news.dable.io
3.38.73.181         # adx.dable.io
3.38.79.193         # adx.dable.io
3.39.43.45          # adx.dable.io
3.64.163.50         # 12dc71b7cb820f2a.com
3.67.5.50           # events-writer.smartlook.com
3.67.18.130         # vivocha.com
3.67.124.65         # live.cxo.name
3.68.161.104        # snippets.mozilla.com
3.68.180.51         # sdk6.ibm.xtify.com
3.73.103.55         # woozchain.com
3.74.3.70           # ads.justpremium.com
3.75.13.33          # adrunnr.com
3.81.128.108        # api.anythinktech.com
3.81.190.177        # direct-collect.dy-api.com
3.81.223.211        # pr-bh.ybp.yahoo.com
3.81.238.7          # mdmserver.mobidia.com
3.85.65.152         # tangerine.nexage.com
3.85.151.250        # 100016075.collect.igodigital.com
3.85.252.251        # akutapro.com
3.86.119.186        # stats-5-split-vohnu.s.innovid.com.akadns.net
3.86.121.63         # vtrk.doubleverify.com
3.86.122.109        # rkdms.com
3.86.136.12         # data.coremetrics.com
3.88.82.179         # nyidt.adsafeprotected.com
3.89.166.102        # vet-us-east-1.track.smaato.net
3.91.107.70         # provesrc.com
3.92.119.65         # events.turbosquid.com
3.92.220.85         # uthecrimorew.info
3.92.246.86         # vtrk.doubleverify.com
3.93.100.44         # ltvapi.tapjoy.com
3.93.125.190        # i.w55c.net
3.94.41.167         # 123kuma.com
3.94.97.242         # ptimeinc.chartbeat.net
3.94.188.247        # powerad.ai
3.94.218.138        # metrics.api.drift.com
3.94.223.166        # swa.demdex.net
3.94.225.8          # trilogyed.com
3.94.225.64         # nyidt.adsafeprotected.com
3.95.127.228        # talkable.com
3.105.4.61          # api.fuseplatform.net
3.112.121.111       # ssptrk.adpopcorn.com
3.114.174.129       # bypass-bid.ad-stir.com
3.114.175.38        # bvr.snva.jp
3.114.193.230       # af-z.jp
3.114.216.187       # ap.adadvisor.net
3.115.34.215        # reports-tsi.tangerine.io
3.120.11.149        # sdk6.ibm.xtify.com
3.121.128.210       # enhencer.com
3.122.16.67         # impression-europe.liftoff.io
3.122.156.171       # 1800cnt.com
3.124.202.97        # apicssdk.onemt.co
3.125.20.187        # vivocha.com
3.125.243.232       # matomo.unicaf.org
3.126.45.255        # snippets.mozilla.com
3.127.0.28          # ads.justpremium.com
3.130.135.222       # config.claspws.tv
3.130.204.160       # angege.com
3.130.253.23        # angege.com
3.131.8.238         # analytics.convertlanguage.com
3.131.224.78        # collector-12255.tvsquared.com
3.133.41.80         # app-03c19ea7c9fd0c57.mobileapi.usebutton.com
3.134.125.29        # adserver.ubiyoo.com
3.134.183.242       # collector-12255.tvsquared.com
3.135.147.228       # l.sharethis.com
3.137.17.18         # winbuyer.com
3.139.145.104       # config.claspws.tv
3.139.232.28        # adserver.ubiyoo.com
3.140.13.188        # adchap.com
3.140.56.137        # eaes.2track.info
3.143.158.136       # config.claspws.tv
3.208.14.23         # ads.everesttech.net
3.208.226.186       # grupoequinoccio.com
3.208.242.130       # code.revcontent.com
3.208.247.235       # animikii-ana.com
3.209.49.111        # analytics.ziftsolutions.com
3.209.75.144        # api.53.localytics.com
3.209.138.141       # sync.extend.tv
3.209.177.236       # prod-m-node-1111.ssp.advertising.com
3.209.191.93        # tangerine.nexage.com
3.209.223.100       # cads.scalemonk.com
3.210.53.199        # utctime.tiltingpoint.io
3.210.127.166       # news-headlines.co
3.210.142.191       # interpolls.com
3.210.222.143       # 100022618.collect.igodigital.com
3.211.42.107        # analytics.localytics.com
3.211.91.114        # geo.mattel163.com
3.211.174.139       # nyidt.adsafeprotected.com
3.211.249.212       # tracking.adactioninteractive.com
3.212.22.234        # tracking.adactioninteractive.com
3.212.50.125        # animikii-ana.com
3.212.66.87         # ep-sa.com.ar
3.213.1.19          # 10870841.collect.igodigital.com
3.213.112.114       # events3alt.adcolony.com
3.214.12.148        # segmentor.snowfox-ai.com
3.214.73.141        # analytics.localytics.com
3.215.105.230       # vast.adsafeprotected.com
3.215.249.157       # api.53.localytics.com
3.216.18.153        # advancelocal.blueconic.net
3.216.33.107        # c.adroll.com
3.216.51.12         # vtrk.doubleverify.com
3.216.189.115       # api.aimtell.com
3.217.27.254        # api.53.localytics.com
3.217.128.99        # 6psex-sootr.ads.tremorhub.com
3.217.194.240       # 100008436.collect.igodigital.com
3.217.205.108       # nyidt.adsafeprotected.com
3.217.254.204       # astat.nikkei.com
3.218.71.221        # ringtonematcher.com
3.218.99.108        # beacontest.cardlytics.com
3.218.100.42        # ads.yieldmo.com
3.218.233.119       # gklfs-ktn14.ads.tremorhub.com
3.219.175.137       # wsback-track.presage.io
3.220.57.224        # perfectaudience.com
3.220.78.24         # trilogyed.com
3.221.39.145        # vast-events.inner-active.mobi
3.221.178.71        # ads.adtheorent.com
3.221.197.220       # spanids.thesaurus.com
3.221.217.241       # admax.nexage.com
3.221.232.72        # 6psex-sootr.ads.tremorhub.com
3.221.245.250       # api.ad.mobiuspace.net
3.222.80.176        # panel.moat.com
3.222.144.188       # origin.tapjoy.com
3.222.163.119       # wsback-track.presage.io
3.222.194.66        # news-headlines.co
3.223.1.65          # adserve.kargo.com
3.223.41.198        # oryj8-jzbmc.ads.tremorhub.com
3.223.113.142       # pixel.adblade.com
3.223.142.46        # ltv.tapjoy.com
3.223.162.230       # ads.adtheorent.com
3.223.172.81        # addash.co
3.223.172.127       # track.thesaurus.com
3.223.231.14        # global.event.prod.bidr.io
3.224.33.219        # vtrk.doubleverify.com
3.224.103.114       # openinternetexchange.com
3.224.141.128       # lp.outbrain.com
3.224.173.205       # 5nbh3-h9cpz.ads.tremorhub.com
3.224.194.139       # ichnaea-web.netflix.com
3.224.215.216       # events3alt.adcolony.com
3.224.252.235       # prd-collector-auth.playbuzz.com
3.225.28.244        # rpc-tapjoy-com-lb-1378811527.us-east-1.elb.amazonaws.com
