2001:12ff:0:2::95                       # cmonobueno.com.br
2001:19f0:200:45af:225:90ff:fed3:1d86   # vertamedia.com
2001:19f0:7001:5d59:5400:2ff:fe39:18ee  # webprivacyapp.com
2001:41d0:404:200::8473                 # basic-check.oisd.nl
2001:470:1:332::ef                      # ak-is.net
2001:470:1:332::fe                      # ak-is.net
2001:4860:4802:32::15                   # collect.trbo.com
2001:4860:4802:32::35                   # tagging-qadkfoj6ha-as.a.run.app
2001:4860:4802:34::15                   # collection-day.com
2001:4860:4802:34::35                   # tagging-qadkfoj6ha-as.a.run.app
2001:4860:4802:36::15                   # collection-day.com
2001:4860:4802:36::35                   # tagging-qadkfoj6ha-as.a.run.app
2001:4860:4802:38::15                   # collection-day.com
2001:4860:4802:38::35                   # tagging-qadkfoj6ha-as.a.run.app
2001:4998:124:1407::2002                # data-ipv6.flurry.com
2001:4998:124:1407::2003                # data-ipv6.flurry.com
2001:4998:124:1407::2004                # data-ipv6.flurry.com
2001:4998:124:1407::a001                # beap.gemini.yahoo.com
2001:4998:14:800::1000                  # ads.avazu.net
2001:4998:14:800::1001                  # ads.avazu.net
2001:550:30e:c000::a                    # adui.tg.meitu.com
2001:678:f08:2:61:83:10:100             # cdncontentstorage.com
2001:67c:2294:1000::f196                # anapixel.elmundo.es
2001:8d8:100f:f000::231                 # srv-fattureincloud.de
2001:bc8:10::7                          # kiki.s3.fr-par.scw.cloud
2001:bc8:1c10::1                        # 0dbfe412-5103-47d0-9e90-a9c122061cd5.s3.pl-waw.scw.cloud
2001:bc8:62c:1832::1                    # webstats.indigo-net.com
2001:df0:27b:2::1:611f                  # amiktunasbangsa.ac.id
2001:df0:27b:2::3:168                   # mtsroudlotulfurqon.com
2001:df0:27b:2::3:8096                  # aldero-primaartha.com
2001:df0:27b:2::3:82a7                  # pandureka.com
2001:df0:27b:2::4:2073                  # nndansyn.xyz
2001:df0:27b:2::4:8072                  # mitsubishibosowajayapura.com
2001:df0:27b:2::4:8367                  # ringsatu.co
2001:df0:27b:2::5:4042                  # elgatama.com
2001:df0:2fc:99::123                    # smartlogistics.co.id
2001:df0:2fc:99::163                    # pohorma.com
2001:df1:7800:2::2:21f6                 # boossacademy.com
2001:df1:7800:2::2:618c                 # javaherbal.co.id
2001:df1:7800:2::2:815e                 # yapisalbadr.org
2001:df1:7800:2::3:1b6                  # geloragrafika.com
2001:df1:7800:2::4:a254                 # tkmelatipekuncen.sch.id
2001:df1:7800:2::4:e23d                 # ikatbatam.com
2001:df1:7800:2::5:40ce                 # kud-sawitjaya.com
2001:df1:7800:2::5:8071                 # tektrosucm.com
2001:df1:7800:2::6:80bc                 # jogjaone.com
2001:df1:7800:2::6:9f                   # dutabhuanajaya.com
2001:df1:7800:2::7:20a6                 # solides.net.id
2001:df1:7800:2::7:421b                 # smkn1pelaihari.sch.id
2001:df1:7800:2::7:6139                 # vanfishing.my.id
2001:df1:800:a009:11::1                 # alicorporations.com
2001:df7:5300:2::19                     # sipas-wringinsongo.my.id
2001:df7:5300:2::1c                     # alifikri.com
2001:df7:5300:2::2b                     # fed-insight-tools.com
2400:52e0:1a00::845:1                   # cdn1.vntsm.com
2400:b800:3:1::2                        # westcoastpowerequipment.com.au
2401:b180:7003::1ac                     # ac.mmstat.com
2402:4e00:1020:1400:0:92d2:90d5:ec99    # tools.3g.qq.com
2402:4e00:1020:1400:0:92d2:90db:f7d0    # tools.3g.qq.com
2402:4e00:1020:140d:0:92da:1fe6:6f9a    # tools.3g.qq.com
2402:4e00:1020:140d:0:92da:1fee:eda     # tools.3g.qq.com
2402:4e00:8020:2::7c                    # astat.bugly.qq.com
2404:8280:a222:bbbb:bba1:42:ffff:ffff   # moscatohair.com.au
2404:8280:a222:bbbb:bba1:53:ffff:ffff   # vk2ca.com
2404:8280:a222:bbbb:bba1:82:ffff:ffff   # madathletes.com.au
2405:f980::1:10                         # lg.lotus.vn
2406:2600:4::3                          # rdi.as.criteo.com
2406:da00:ff00::22cc:18a4               # analytics2.awsli.com.br
2406:da00:ff00::2399:becb               # ws12.tapjoyads.com
2406:da00:ff00::2cc6:9706               # cnvrsns.clickmeter.com
2406:da00:ff00::3405:d873               # analytics2.awsli.com.br
2406:da00:ff00::342d:640c               # ws12.tapjoyads.com
2406:da00:ff00::34cb:8ce6               # ws12.tapjoyads.com
2406:da00:ff00::3652:c6a7               # ws12.tapjoyads.com
2406:da00:ff00::3655:b486               # ws12.tapjoyads.com
2406:da00:ff00::3693:48a8               # cnvrsns.clickmeter.com
2406:da00:ff00::36ae:484a               # ws12.tapjoyads.com
2406:da00:ff00::36d0:583a               # ws12.tapjoyads.com
2406:da00:ff00::3d5:cbca                # ws12.tapjoyads.com
2407:2440:9::c                          # adui.tg.meitu.com
2407:2440:9::f                          # adui.tg.meitu.com
2408:80f1:21:4013::85                   # c2.gdt.qq.com
2408:80f1:21:4013::9                    # c2.gdt.qq.com
2408:873c:7a00:2000::1                  # plbslog.umeng.com
2408:873c:7a00:2000::2                  # plbslog.umeng.com
2409:8c20:5c64:2000::1                  # plbslog.umeng.com
2409:8c20:5c64:2000::2                  # plbslog.umeng.com
240d:c000:2010:1807:0:95aa:87eb:61d8    # tdid.m.qq.com
240d:c000:2010:1807:0:95aa:87ec:eca7    # tdid.m.qq.com
240e:979:801:530:3::3fd                 # bkt.clouddn.com
240e:979:801:530:3::3fe                 # bkt.clouddn.com
240e:97b:500:2000::1                    # plbslog.umeng.com
240e:97b:500:2000::2                    # plbslog.umeng.com
240e:b1:a810:1800::6a75:d823            # download.skycn.com
2600:1408:2000::17de:c19                # webview.unityads.unity3d.com
2600:1408:2000::17de:c22                # webview.unityads.unity3d.com
2600:1408:7::170f:929                   # client.botchk.net
2600:1408:7::170f:930                   # client.botchk.net
2600:1408:c400:1784::12c5               # ut.iadsdk.apple.com
2600:1408:c400:1789::12c5               # ut.iadsdk.apple.com
2600:1408:c400:178c::12c5               # ut.iadsdk.apple.com
2600:1408:c400:1883::11a6               # 17de4c16.akstat.io
2600:1408:c400:1884::11a6               # 17de4c16.akstat.io
2600:1408:c400:1885::11a6               # 17de4c17.akstat.io
2600:1408:c400:1886::11a6               # 17de4c16.akstat.io
2600:1408:c400:1887::11a6               # 17de4c17.akstat.io
2600:1408:c400:1888::11a6               # 17de4c17.akstat.io
2600:1408:c400:1889::11a6               # 17de4c17.akstat.io
2600:1408:c400:188c::11a6               # 17de4c16.akstat.io
2600:1408:c400:188d::11a6               # 17de4c16.akstat.io
2600:1408:c400:2b::17de:4c5             # config.unityads.unity3d.com
2600:1408:c400:2b::17de:4c6             # config.unityads.unity3d.com
2600:1408:c400:31::17de:54c             # 113vod-adaptive.akamaized.net
2600:1408:c400:31::17de:559             # 113vod-adaptive.akamaized.net
2600:1408:c400:386::11ae                # crta.and.co.uk
2600:1408:c400:38a::11ae                # crta.and.co.uk
2600:1408:c400:4e::1749:cf06            # ads.hulu.com
2600:1408:c400:4e::1749:cf07            # ads.hulu.com
2600:1408:c400:4e::1749:cf0b            # ads.hulu.com
2600:1408:c400:780::268b                # scdn.cxense.com
2600:1408:c400:786::268b                # scdn.cxense.com
2600:1408:c400:d::17cd:6a49             # dspk.kindredplc.com
2600:1408:c400:d::17cd:6a4a             # app.datorama.com
2600:1408:c400:d::17cd:6a57             # app.datorama.com
2600:141b:7000::1743:3023               # geo-artifact.simpli.fi
2600:141b:7000::1743:3050               # geo-artifact.simpli.fi
2600:141b:e800:118c::aa5                # ma1275-r.analytics.edgekey.net
2600:141b:e800:118d::aa5                # ma1275-r.analytics.edgekey.net
2600:141b:e800:1483::2c79               # player.aniview.com
2600:141b:e800:148a::2c79               # player.aniview.com
2600:1901:0:13e0::                      # pixel.ipinfo.io
2600:1901:0:15bb::                      # balanced-collect.deltadna.net
2600:1901:0:2b56::1                     # ar1nvz5.com
2600:1901:0:302f::                      # co.akisinn.site
2600:1901:0:328a::1                     # benthose.com
2600:1901:0:4277::1                     # aboriginalboats.com
2600:1901:0:573e::                      # stage-assets.applovin.com
2600:1901:0:5d61::                      # api.omnilocal.ai
2600:1901:0:6072::1                     # absentstream.com
2600:1901:0:636d::1                     # aboardkettle.com
2600:1901:0:68c9::                      # geotargetly.co
2600:1901:0:7416::1                     # alertafterthought.com
2600:1901:0:76b9::                      # prod-rtb.ad4mat.net
2600:1901:0:7a0b::                      # sessions.bugsnag.com
2600:1901:0:7a38::1                     # brashbead.com
2600:1901:0:7af::                       # ctl.mobitrack.co.kr
2600:1901:0:7ec2::1                     # 2znp09oa.com
2600:1901:0:809c::1                     # emptyescort.com
2600:1901:0:8eb3::                      # deltaflow.petametrics.com
2600:1901:0:9ed6::1                     # aquaticalarm.com
2600:1901:0:a92e::                      # app.bugsnag.com
2600:1901:0:b20a::                      # e-prod.adhaven.com
2600:1901:0:c9c5::                      # demo.fuseplatform.net
2600:1901:0:cca8::1                     # ambitiousagreement.com
2600:1901:0:d733::1                     # childlikeform.com
2600:1f14:a68:2f00:5d47:52f5:8f26:a84e  # log.go.com
2600:1f14:a68:2f00:9f0b:48e3:742f:24d2  # log.go.com
2600:1f14:a68:2f00:bee7:8a1a:d32b:963e  # log.go.com
2600:1f14:a68:2f00:e7b4:860:6df:a994    # log.go.com
2600:1f14:a68:2f01:d418:916b:4437:9a25  # log.go.com
2600:1f14:a68:2f02:856c:f95:b5d7:fb52   # log.go.com
2600:1f14:a68:2f02:c115:ea29:bd16:2c01  # log.go.com
2600:1f14:a68:2f02:fef2:5882:42bc:8c4f  # log.go.com
2600:1f16:389:3100:20ef:8b14:2b57:72b3  # betburdaaffiliates.com
2600:1f16:389:3110:91fb:8a45:3e14:4bd1  # betburdaaffiliates.com
2600:1f16:389:3120:96e6:3c0a:86bc:e768  # betburdaaffiliates.com
2600:1f16:d83:1202::6e:5                # 27c5-107-182-128-12.ngrok.io
2600:1f18:2448:f210:110d:1982:8db0:9c8a # gdmconvtrck.com
2600:1f18:2448:f210:1416:87a:9f50:ba2d  # securecloud-smart.com
2600:1f18:2448:f220:832:11ff:2d72:97b8  # gdmconvtrck.com
2600:1f18:2448:f220:8e68:ea61:fdc7:3c3c # securecloud-smart.com
2600:1f18:2448:f230:37db:a755:c81a:f8b  # gdmconvtrck.com
2600:1f18:2448:f230:8e5:37a3:911c:861   # securecloud-smart.com
2600:1f18:2448:f240:8121:7a4f:eb22:b512 # gdmconvtrck.com
2600:1f18:2448:f240:c976:7bed:c60d:47ba # securecloud-smart.com
2600:1f18:24e6:b900:8882:2f58:d4f8:2dd5 # session-replay.browser-intake-datadoghq.com
2600:1f18:24e6:b900:9a7b:4b53:110b:ccf0 # session-replay.browser-intake-datadoghq.com
2600:1f18:24e6:b900:eed7:daf5:35c5:20e6 # trace.browser-intake-datadoghq.com
2600:1f18:24e6:b901:75a5:cc6:c2ca:4746  # session-replay.browser-intake-datadoghq.com
2600:1f18:24e6:b901:7c4f:374c:6b44:3956 # session-replay.browser-intake-datadoghq.com
2600:1f18:24e6:b901:987f:1bc7:d9bc:1e70 # trace.browser-intake-datadoghq.com
2600:1f18:24e6:b902:4e56:d5f:2b7:2909   # session-replay.browser-intake-datadoghq.com
2600:1f18:24e6:b902:c692:811f:c48a:9aa8 # trace.browser-intake-datadoghq.com
2600:1f18:24e6:b902:cdea:ba51:5635:d22a # session-replay.browser-intake-datadoghq.com
2600:1f18:2c4:cb01:af70:d0e2:e9d1:587c  # ceg.g5e.com
2600:1f18:43d1:2a02:b6ee:327b:545e:e578 # track.couponinu.net
2600:1f18:510:801:5e05:97f7:effd:7fc3   # pushads.popcash.net
2600:1f18:510:802:dce:2e68:4df4:be83    # pushads.popcash.net
2600:1f18:612b:4200:1473:79ff:9ba3:468f # pc051-k4snh.ads.tremorhub.com
2600:1f18:612b:4200:302e:8d98:a0ac:6e63 # pc051-k4snh.ads.tremorhub.com
2600:1f18:612b:4200:667c:4ae8:c00a:4462 # adelphic-partners.tremorhub.com
2600:1f18:612b:4200:7650:e117:ad07:f4c3 # criteo-partners.tremorhub.com
2600:1f18:612b:4200:7f46:f7e3:4fda:cc1e # adelphic-partners.tremorhub.com
2600:1f18:612b:4200:89da:c45c:6dce:69fe # jzwjq.ads.tremorhub.com
2600:1f18:612b:4200:8e0c:6402:10d8:bd51 # jzwjq.ads.tremorhub.com
2600:1f18:612b:4200:9ad7:2fa2:ab8d:15b2 # pc051-k4snh.ads.tremorhub.com
2600:1f18:612b:4200:a817:8511:e51d:df85 # adelphic-partners.tremorhub.com
2600:1f18:612b:4200:b1cf:6448:b8ed:e475 # taboola-supply-partners.tremorhub.com
2600:1f18:612b:4200:b72d:9f65:3dc6:bff2 # p4dt2-0pwq8.ads.tremorhub.com
2600:1f18:612b:4200:bebd:652c:eb44:e2ea # pc051-k4snh.ads.tremorhub.com
2600:1f18:612b:4200:cfaa:8898:b42c:a782 # pc051-k4snh.ads.tremorhub.com
2600:1f18:612b:4200:f475:3212:426c:37ef # jzwjq.ads.tremorhub.com
2600:1f18:612b:4216:59f0:7d1c:f2a3:a394 # adelphic-partners.tremorhub.com
2600:1f18:612b:4216:5a91:82d0:6680:87fb # criteo-partners.tremorhub.com
2600:1f18:612b:4216:5eed:3bc7:9f93:1c66 # adelphic-partners.tremorhub.com
2600:1f18:612b:4216:b6f8:e24:1a45:5ccc  # p4dt2-0pwq8.ads.tremorhub.com
2600:1f18:612b:4216:cd79:34ae:bc6a:5e70 # criteo-partners.tremorhub.com
2600:1f18:612b:4216:df61:c2f3:6dd7:9d51 # p4dt2-0pwq8.ads.tremorhub.com
2600:1f18:612b:4232:1208:f4c2:941e:ad65 # criteo-partners.tremorhub.com
2600:1f18:612b:4232:2d7f:4a22:4907:a9c7 # p4dt2-4nrdw.ads.tremorhub.com
2600:1f18:612b:4232:37a5:9aa3:7baa:62be # jzwjq.ads.tremorhub.com
2600:1f18:612b:4232:4a48:659f:1888:bd60 # p4dt2-4nrdw.ads.tremorhub.com
2600:1f18:612b:4232:8170:35e5:494d:7cbc # p4dt2-4nrdw.ads.tremorhub.com
2600:1f18:612b:4232:851e:f269:97b5:da7b # taboola-supply-partners.tremorhub.com
2600:1f18:612b:4232:92e0:34f1:691b:630b # p4dt2-0pwq8.ads.tremorhub.com
2600:1f18:612b:4232:9c9c:4e0f:e14a:ea49 # adelphic-partners.tremorhub.com
2600:1f18:612b:4232:a488:45e2:49e0:2c37 # pc051-k4snh.ads.tremorhub.com
2600:1f18:612b:4232:cbfb:31da:cef6:348  # adelphic-partners.tremorhub.com
2600:1f18:612b:4232:fd55:d8de:ac5a:3cd4 # criteo-partners.tremorhub.com
2600:1f18:612b:4264:5b4e:b2c4:e501:9828 # p4dt2-0pwq8.ads.tremorhub.com
2600:1f18:612b:4264:64e9:7feb:2262:26ef # p4dt2-4nrdw.ads.tremorhub.com
2600:1f18:612b:4264:6ee2:887:1ab8:da64  # criteo-partners.tremorhub.com
2600:1f18:612b:4264:caf3:bff0:a5c3:c60a # adelphic-partners.tremorhub.com
2600:1f18:612b:4264:df5a:e661:c8f2:6a57 # taboola-supply-partners.tremorhub.com
2600:1f18:612b:4264:e300:4af3:2fab:c142 # taboola-supply-partners.tremorhub.com
2600:1f18:612b:4264:eb72:8264:e15c:8d08 # p4dt2-4nrdw.ads.tremorhub.com
2600:1f18:612b:4264:f2:54dc:6475:5cdb   # jzwjq.ads.tremorhub.com
2600:1f18:612b:4264:f8bb:8905:36c8:5ff9 # jzwjq.ads.tremorhub.com
2600:1f18:612b:4280:1476:784e:7d7a:18c9 # jzwjq.ads.tremorhub.com
2600:1f18:612b:4280:1cd7:21e4:9d9a:dcf0 # p4dt2-0pwq8.ads.tremorhub.com
2600:1f18:612b:4280:3c07:97d4:428f:f4aa # p4dt2-4nrdw.ads.tremorhub.com
2600:1f18:612b:4280:6b24:d63e:4da6:4ee  # p4dt2-0pwq8.ads.tremorhub.com
2600:1f18:612b:4280:b16d:72ea:446d:f65f # jzwjq.ads.tremorhub.com
2600:1f18:621f:bf20:2042::3             # mobile.logs.roku.com
2600:1f18:621f:bf20:2042::5             # mobile.logs.roku.com
2600:1f18:621f:bf20:2042::7             # mobile.logs.roku.com
2600:1f18:621f:bf20:2042::a             # mobile.logs.roku.com
2600:1f18:621f:bf21:2042::8             # mobile.logs.roku.com
2600:1f18:621f:bf21:2042::b             # mobile.logs.roku.com
2600:1f18:621f:bf21:2042::c             # mobile.logs.roku.com
2600:1f18:621f:bf22:2042::3             # mobile.logs.roku.com
2600:1f18:6494:7800:c8c:9279:d9ef:e8fe  # analytics.liftoff.io
2600:1f18:6527:9a00:34bf:c0d8:b83:3184  # iomsp.bfmio.com
2600:1f18:6593:f600:4cde:8aa:915a:85c4  # nbcu.prd.ads.aws.fwmrm.net
2600:1f18:6593:f600:6235:8475:2669:58c5 # nbcu.prd.ads.aws.fwmrm.net
2600:1f18:6593:f600:6d4e:4d08:83e5:8fa4 # nbcu.prd.ads.aws.fwmrm.net
2600:1f18:6593:f600:7475:e79:22d:1b43   # nbcu.prd.ads.aws.fwmrm.net
2600:1f18:6593:f600:d00c:d52c:5371:efa  # nbcu.prd.ads.aws.fwmrm.net
2600:1f18:6593:f601:31be:eaee:1d8c:9fe8 # nbcu.prd.ads.aws.fwmrm.net
2600:1f18:6593:f601:611c:90e2:c181:1fe2 # nbcu.prd.ads.aws.fwmrm.net
2600:1f18:6593:f601:6e36:3d7b:dfb5:1567 # nbcu.prd.ads.aws.fwmrm.net
2600:1f18:6593:f601:8729:44f1:1075:68b9 # nbcu.prd.ads.aws.fwmrm.net
2600:1f18:6593:f601:8db1:1078:892f:cd87 # nbcu.prd.ads.aws.fwmrm.net
2600:1f18:6593:f602:3fd7:c8e3:cbda:5fe9 # nbcu.prd.ads.aws.fwmrm.net
2600:1f18:6593:f602:4d5e:ab92:54cb:6c57 # nbcu.prd.ads.aws.fwmrm.net
2600:1f18:6593:f602:82a0:df8e:67ea:6e72 # nbcu.prd.ads.aws.fwmrm.net
2600:1f18:6593:f602:8bd3:480b:a39:d536  # nbcu.prd.ads.aws.fwmrm.net
2600:1f18:6593:f602:96e:5500:bf36:df5c  # nbcu.prd.ads.aws.fwmrm.net
2600:1f18:6593:f606:2bad:1cf:7b7b:1af   # nbcu.prd.ads.aws.fwmrm.net
2600:1f18:6593:f606:5126:e6b:eab6:7393  # nbcu.prd.ads.aws.fwmrm.net
2600:1f18:6593:f606:56d:13b0:4fac:bcd1  # nbcu.prd.ads.aws.fwmrm.net
2600:1f18:6593:f606:b0c3:6468:eab1:934c # nbcu.prd.ads.aws.fwmrm.net
2600:1f18:6593:f606:ee73:d59a:4018:6dc2 # nbcu.prd.ads.aws.fwmrm.net
2600:1f18:6593:f607:11a7:cf56:2b1f:dc6  # nbcu.prd.ads.aws.fwmrm.net
2600:1f18:6593:f607:1e48:63e3:baf2:55da # nbcu.prd.ads.aws.fwmrm.net
2600:1f18:6593:f607:351d:744f:551b:dfcf # nbcu.prd.ads.aws.fwmrm.net
