2001:1600:4:9:f816:3eff:fe10:7e5e       # madskis.com
2001:19f0:7402:1059:5400:3ff:fe34:a47b  # cloud-stats.info
2001:240:2405:da28:4ff0:f8ed:45ed:8be6  # shenajou.com
2001:41d0:1004:607:0:93:c8c:1           # krum.vsct.fr
2001:41d0:1:1b00:213:186:33:19          # interclics.com
2001:41d0:203:879f::29                  # exoclick.com
2001:41d0:203:dea9::                    # adbyss.com
2001:41d0:20c:6a00::11:21               # ackcdn.net
2001:41d0:2:7a98::1                     # i-reklama.sk
2001:41d0:301:100:54:38:250:124         # rs.smc.tf
2001:41d0:301::31                       # ico.re
2001:41d0:302:1100::91e                 # sexadvertentiesite.nl
2001:41d0:304:100::45d1                 # analytics.cookiefirst.dev
2001:41d0:305:1000::1cf8                # stats.macg.io
2001:41d0:404:200::7958                 # veille-referencement.com
2001:41d0:701:1100::5b10                # zzztest.oisd.nl
2001:41d0:b:a74:5:39:10:93              # a.0day.kiev.ua
2001:470:1:3a::14                       # ad.keenspace.com
2001:470:1f07:135:e63d:1aff:fe85:8ac0   # ads.financialcontent.com
2001:470:1f0a:716::2                    # livecounter.theyosh.nl
2001:4800:7817:101:be76:4eff:fe04:53ff  # ads.gplusmedia.com
2001:4860:4802:32::15                   # a.thelocal.com
2001:4860:4802:32::177                  # gp.dejanews.com
2001:4860:4802:32::1b                   # merchant-center-analytics.goog
2001:4860:4802:32::35                   # impression-tracker-service-5eimuebuhq-lz.a.run.app
2001:4860:4802:34::15                   # a.thelocal.com
2001:4860:4802:34::177                  # gp.dejanews.com
2001:4860:4802:34::35                   # impression-tracker-service-5eimuebuhq-lz.a.run.app
2001:4860:4802:36::15                   # a.thelocal.com
2001:4860:4802:36::177                  # gp.dejanews.com
2001:4860:4802:36::35                   # impression-tracker-service-5eimuebuhq-lz.a.run.app
2001:4860:4802:36::36                   # asia-northeast1-affiliate-pr.cloudfunctions.net
2001:4860:4802:38::15                   # a.thelocal.com
2001:4860:4802:38::177                  # gp.dejanews.com
2001:4860:4802:38::35                   # impression-tracker-service-5eimuebuhq-lz.a.run.app
2001:4998:124:1507::a000                # adtech.yahooinc.com
2001:4998:44:3304::3000                 # 3p-udc.yahoo.com
2001:4998:44:3507::4000                 # adtech.yahooinc.com
2001:4998:58:207::6000                  # 3p-udc.yahoo.com
2001:4998:60:807::1                     # ads.yahoo.com
2001:4998:60:807::2                     # ads.yahoo.com
2001:678:25c:2215::550                  # megaad.nz
