3.14.242.117        # ads.simplyhired.com
3.33.152.147        # bannerserver.com
3.64.163.50         # analytik.xyz
3.82.81.203         # upu.samsungelectronics.com
3.208.35.2          # distillery.wistia.com
3.212.79.191        # adsrvr.org
3.212.97.73         # adsrvr.org
3.215.251.236       # tracking.olx-st.com
3.222.144.188       # tapjoy.com
3.224.134.22        # paychat.fuse-cloud.com
3.231.75.253        # adsrvr.org
3.232.230.6         # cpu.samsungelectronics.com
3.233.152.237       # browser-http-intake.logs.datadoghq.com
3.233.152.238       # browser-http-intake.logs.datadoghq.com
3.233.152.239       # browser-http-intake.logs.datadoghq.com
3.233.152.241       # browser-http-intake.logs.datadoghq.com
3.233.152.242       # browser-http-intake.logs.datadoghq.com
3.233.152.245       # browser-http-intake.logs.datadoghq.com
3.233.152.246       # browser-http-intake.logs.datadoghq.com
3.233.152.248       # browser-http-intake.logs.datadoghq.com
3.234.162.117       # crazyegg.com
3.235.152.195       # myads.company
5.9.7.173           # idtargeting.com
8.2.111.131         # supply.colossusssp.com
8.214.70.214        # tracking.intl.miui.com
8.214.75.22         # tracking.intl.miui.com
8.214.75.114        # tracking.intl.miui.com
10.5.32.177         # pushtrack.co
10.5.35.162         # pushtrack.co
12.14.172.204       # openad.travelnow.com
12.171.94.40        # 7search.com
13.127.129.19       # adsolut.in
13.248.155.104      # adabra.com
13.248.206.98       # cluster.adultworld.com
13.248.216.40       # adsoldier.com
15.188.4.125        # tagcommander.com
15.197.142.173      # bannerserver.com
18.67.76.82         # adn.lrb.co.uk
18.67.76.97         # adn.lrb.co.uk
18.67.76.98         # adn.lrb.co.uk
18.67.76.102        # adn.lrb.co.uk
18.160.41.10        # mediax.angloinfo.com
18.160.41.39        # mediax.angloinfo.com
18.160.41.45        # mediax.angloinfo.com
18.160.41.120       # mediax.angloinfo.com
18.160.46.9         # knorex.com
18.160.46.39        # knorex.com
18.160.46.67        # knorex.com
18.160.46.83        # knorex.com
18.165.83.36        # evs.sgmt.loom.com
18.165.83.38        # evs.sgmt.loom.com
18.165.83.51        # evs.sgmt.loom.com
18.165.83.116       # evs.sgmt.loom.com
18.165.98.27        # zion-telemetry.api.cnn.io
18.165.98.38        # zion-telemetry.api.cnn.io
18.165.98.51        # zion-telemetry.api.cnn.io
18.165.98.84        # zion-telemetry.api.cnn.io
18.204.108.2        # adsrvr.org
18.204.190.178      # udkcrj.com
18.205.69.113       # udkcrj.com
18.206.103.1        # udkcrj.com
18.206.130.128      # udkcrj.com
18.235.47.16        # tracking.olx-st.com
20.36.249.154       # analytics.live.com
20.205.16.25        # breaktime.com.tw
23.45.233.9         # li.onetravel.com
23.45.233.49        # li.onetravel.com
23.64.90.251        # vungle.com
23.101.27.182       # adsfac.us
23.185.0.4          # piano.io
23.205.105.151      # adsatt.abc.starwave.com
23.205.105.190      # adsatt.abc.starwave.com
23.212.249.78       # e37364.dscd.akamaiedge.net
23.212.249.85       # e37364.dscd.akamaiedge.net
23.222.5.78         # li.alibris.com
23.222.5.85         # li.alibris.com
23.229.231.227      # banners.sys-con.com
23.235.244.212      # prpops.com
23.235.244.224      # prpops.com
23.235.244.225      # prpops.com
23.235.244.226      # prpops.com
23.235.244.227      # prpops.com
23.239.109.130      # ads.kaktuz.net
31.177.76.70        # adnet.ru
31.177.80.70        # adnet.ru
34.102.136.180      # ampleclick.com
34.102.211.201      # track.effiliation.com
34.110.179.148      # enormousearth.com
34.110.181.170      # apathetictheory.com
34.110.189.112      # gammamaximum.com
34.110.240.68       # damageddistance.com
34.110.253.203      # fascinatedfeather.com
34.111.134.78       # copycarpenter.com
34.111.234.236      # ml314.com
34.117.28.143       # ads.iwon.com
34.117.168.233      # cootlogix.com
34.149.46.224       # cheerfulrange.com
34.149.178.20       # earthycopy.com
34.149.234.220      # impulsehands.com
34.160.63.134       # blushingbeast.com
34.160.169.226      # ar1nvz5.com
34.195.175.250      # tracking.olx-st.com
34.197.136.58       # px.dynamicyield.com
34.198.147.111      # afftracking.justanswer.com
