2001:470:1:3a::14                       # ad.keenspace.com
2001:470:1f07:135:e63d:1aff:fe85:8ac0   # ads.financialcontent.com
2001:4800:7817:101:be76:4eff:fe04:53ff  # ads.gplusmedia.com
2001:4860:4802:32::15                   # adhunter.media
2001:4860:4802:32::181                  # analytics.google.com
2001:4860:4802:34::15                   # adhunter.media
2001:4860:4802:34::181                  # analytics.google.com
2001:4860:4802:36::15                   # adhunter.media
2001:4860:4802:36::181                  # analytics.google.com
2001:4860:4802:38::15                   # adhunter.media
2001:4860:4802:38::181                  # analytics.google.com
2001:4998:60:807::1                     # ads.avazu.net
2001:4998:60:807::2                     # ads.avazu.net
2001:4b98:dc2:950::101                  # acid-adserver.click
2001:4b98:dc5:253::11                   # weborama.com
2001:67c:68::21                         # ad.lupa.cz
2001:7b8:3:32:213:136:0:188             # bannermarkt.nl
2600:1404:200:18d::2bfd                 # admanmedia.com
2600:1404:200:193::2bfd                 # admanmedia.com
2600:1404:6400:1190::16c2               # crta.dailymail.co.uk
2600:1404:6400:1192::16c2               # crta.dailymail.co.uk
2600:1404:6400:20::17c6:7a5             # ads.boylesports.com
2600:1404:6400:20::17c6:7a6             # ads.casumoaffiliates.com
2600:1404:6400:20::17c6:7a8             # ads.leovegas.com
2600:1404:6400:20::17c6:7ab             # ads.boylesports.com
2600:1404:6400:20::17c6:7ac             # ads.leovegas.com
2600:1404:6400:20::17c6:7ae             # ads.casumoaffiliates.com
2600:1404:cc00:11::b81c:298b            # adm.fwmrm.net
2600:1404:cc00:11::b81c:2996            # adm.fwmrm.net
2600:1901:0:2b56::1                     # actuallysheep.com
2600:1901:0:328a::1                     # absorbingband.com
2600:1901:0:4277::1                     # wirecomic.com
2600:1901:0:6072::1                     # abandonedaction.com
2600:1901:0:636d::1                     # commonswing.com
2600:1901:0:7416::1                     # laughablecopper.com
2600:1901:0:7a38::1                     # absurdwater.com
2600:1901:0:7ec2::1                     # 2znp09oa.com
2600:1901:0:809c::1                     # abruptroad.com
2600:1901:0:9ed6::1                     # 4jnzhl0d0.com
2600:1901:0:cca8::1                     # 6ldu6qa.com
2600:1901:0:d733::1                     # actuallysnake.com
2600:1f16:b2f:b00:d184:c1d2:c964:465b   # iesnare.com
2600:1f16:b2f:b01:7409:3d29:b832:bc88   # iesnare.com
2600:1f16:b2f:b02:30f0:8272:83fd:165f   # iesnare.com
2600:1f18:43d1:2a02:b6ee:327b:545e:e578 # track.themaccleanup.info
2600:9000:20d6:1400:10:4463:5b00:93a1   # banner.eurogrand.com
2600:9000:20d6:1800:10:4463:5b00:93a1   # banner.eurogrand.com
2600:9000:20d6:1e00:10:4463:5b00:93a1   # banner.eurogrand.com
2600:9000:20d6:800:10:4463:5b00:93a1    # banner.eurogrand.com
2600:9000:20d6:ae00:10:4463:5b00:93a1   # banner.eurogrand.com
2600:9000:20d6:e200:10:4463:5b00:93a1   # banner.eurogrand.com
2600:9000:20d6:f400:10:4463:5b00:93a1   # banner.eurogrand.com
2600:9000:20d6:f800:10:4463:5b00:93a1   # banner.eurogrand.com
2600:9000:20ef:3a00:1e:a8c3:888e:ab81   # ads.bittorrent.com
2600:9000:20ef:4000:1e:a8c3:888e:ab81   # ads.bittorrent.com
2600:9000:20ef:4a00:1e:a8c3:888e:ab81   # ads.bittorrent.com
2600:9000:20ef:7600:1e:a8c3:888e:ab81   # ads.bittorrent.com
2600:9000:20ef:a000:1e:a8c3:888e:ab81   # ads.bittorrent.com
2600:9000:20ef:c800:1e:a8c3:888e:ab81   # ads.bittorrent.com
2600:9000:20ef:e400:1e:a8c3:888e:ab81   # ads.bittorrent.com
2600:9000:20ef:e600:1e:a8c3:888e:ab81   # ads.bittorrent.com
2600:9000:2357:3000:6:9280:1080:93a1    # s.adroll.com
2600:9000:2357:3e00:6:9280:1080:93a1    # s.adroll.com
2600:9000:2357:400:6:9280:1080:93a1     # s.adroll.com
2600:9000:2357:5c00:6:9280:1080:93a1    # s.adroll.com
2600:9000:2357:6000:6:9280:1080:93a1    # s.adroll.com
2600:9000:2357:8400:6:9280:1080:93a1    # s.adroll.com
2600:9000:2357:d000:6:9280:1080:93a1    # s.adroll.com
2600:9000:2357:f000:6:9280:1080:93a1    # s.adroll.com
2600:9000:250d:3c00:1d:f351:f5c0:93a1   # adimages.homestore.com
2600:9000:250d:3e00:1d:f351:f5c0:93a1   # adimages.homestore.com
2600:9000:250d:600:1d:f351:f5c0:93a1    # adimages.homestore.com
2600:9000:250d:9c00:1d:f351:f5c0:93a1   # adimages.homestore.com
2600:9000:250d:b000:1d:f351:f5c0:93a1   # adimages.homestore.com
2600:9000:250d:c800:1d:f351:f5c0:93a1   # adimages.homestore.com
2600:9000:250d:cc00:1d:f351:f5c0:93a1   # adimages.homestore.com
2600:9000:250d:e800:1d:f351:f5c0:93a1   # adimages.homestore.com
2600:9000:250f:1800:12:5da5:dd00:93a1   # ads.acrosspf.com
2600:9000:250f:3400:12:5da5:dd00:93a1   # ads.acrosspf.com
2600:9000:250f:4200:12:5da5:dd00:93a1   # ads.acrosspf.com
2600:9000:250f:6600:12:5da5:dd00:93a1   # ads.acrosspf.com
2600:9000:250f:7c00:12:5da5:dd00:93a1   # ads.acrosspf.com
2600:9000:250f:9600:12:5da5:dd00:93a1   # ads.acrosspf.com
2600:9000:250f:d200:12:5da5:dd00:93a1   # ads.acrosspf.com
2600:9000:250f:e000:12:5da5:dd00:93a1   # ads.acrosspf.com
2604:4f00:10:8127:0:33:63:1             # ads.epltalk.com
2606:4700:10::6814:5a31                 # email-clk.adguard.com
2606:4700:10::6814:5b31                 # email-clk.adguard.com
2606:4700:10::6816:34fc                 # quantummetric.com
2606:4700:10::6816:35fc                 # quantummetric.com
2606:4700:10::6816:36ce                 # connectad.io
2606:4700:10::6816:37ce                 # connectad.io
2606:4700:10::6816:4c56                 # ads.schmoozecom.net
2606:4700:10::6816:4d56                 # ads.schmoozecom.net
